time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,user,path,total_duration
0.0,-8.05370461261,45.3424368509,,2.67288779572,0.0966519210001,9.15549917981,200.505133436,-0.121354990359,45.4683333426,,,-5.48554622959,5.39736843564,,50.0,2.31134660811678,9.155001932176004,-0.0075662441582411,0.40107780083162625,-0.0812500184618,0.453424368509,0.151100327458,,,,,-0.0075662441582411,0.40107780083162625,,0.401077800832,-0.00756624415824,,5.23496964135,,0.978615369887,,,0.0850999622358,2.31048765389,018,17,17.4912228584
1.0,2.52841031305,27.5508478283,,2.58694034434,0.0730691079337,9.38792752238,264.206522052,-0.183175370142,27.5260774947,,,-5.69831751422,-11.9796769433,,50.0,1.9205913623687343,9.386595705952258,0.0023581456226033793,0.47471559007953856,0.0248924690661,0.275738456707,-0.338607050978,,,,,0.0023581456226033793,0.47471559007953856,,0.47471559008,0.0023581456226,,-11.8866281086,,0.842611351953,,,0.0259932046823,1.91849159769,018,17,17.4912228584
2.0,-1.0332899637,30.8061766801,,2.46511290064,0.18742661368,9.71417639911,198.337048829,0.013504547469,30.8348133548,,,-4.7511588578,-1.6863378441,,50.0,1.5193125222421144,9.71274033980257,-0.06519600763212026,0.5683278927128665,-0.0103237156555,0.308061766801,-0.0732292404907,,,,,-0.06519600763212026,0.5683278927128665,,0.568327892713,-0.0651960076321,,-1.71717094129,,0.76440119124,,,0.0416755873739,1.51785450498,018,17,17.4912228584
3.0,-20.9873697192,23.7877574887,,2.48532887523,0.258586390251,10.1495306498,198.745070378,0.231383930052,23.7489222235,,,-5.82287637971,17.0926891158,,50.0,1.0971481101979286,10.147035886733438,-0.14664406237093425,0.6191988537505049,-0.209904145842,0.236180934172,0.536210522657,,,,,-0.14664406237093425,0.6191988537505049,,0.619198853751,-0.146644062371,,17.1141607413,,0.687461789365,,,0.0145756983902,1.09492095715,018,17,17.4912228584
4.0,-15.1692977883,15.854752971,511.7,2.7169713797,0.319579965362,10.5827337047,208.452946107,0.182039939459,16.0006277424,-0.12083871256624135,0.05630957395654666,-5.98243836692,17.1906957019,,50.0,0.7091954547612749,10.565809809038855,-0.16752404889334133,0.5270814796569051,-0.151372776285,0.158745146375,0.27623667133,,,0.03606497277964693,-0.07653375906396236,-0.1522172970805489,0.5198684851009758,,0.527081479657,-0.167524048893,,17.7805187763,,0.546622735184,,,0.0502464780548,0.688172010436,018,17,17.4912228584
5.0,25.7018782065,-48.3552019418,,1.21212624741,0.270200230722,11.0886887617,354.825763757,0.329049523959,-48.434276955,-0.7100013042936725,0.11668147132428405,-7.46398833605,-2.6116802503,,50.0,0.2763769606593603,11.086162601672054,-0.7121329380228579,0.24655261061766545,0.257018782065,-0.483402916824,-0.127488820775,,,0.09457466411939353,-0.5590803846343355,-0.15305255338852228,0.15197794649827198,,0.253580489741,-0.715255209983,,-2.81420926965,,0.624959958873,,,0.249370921411,0.275290684348,018,17,17.4912228584
6.0,26.2960068637,27.8030911312,,-3.11417302432,0.168723288356,11.6587533409,106.379195316,0.0442862631817,28.2659253449,-0.6393726818197382,0.030173248336303842,-4.48490603378,24.8293070665,,50.0,0.17425157673507832,11.657928302378942,-0.3045686098757055,0.0018799223998040699,0.260841007603,0.278030911312,0.528466058999,,,0.02455455902356306,-0.5174893498438363,0.21292073996813088,-0.022674636623758987,,-7.4849929633e-05,-0.309560237368,,24.9288381543,,1.0950307479,,,0.652886067175,0.174271064777,018,17,17.4912228584
7.0,11.3912903135,74.3228848239,,-2.85015111662,0.296709394502,11.8328592186,198.658686562,0.494088482573,74.4408343322,-0.5703999504303527,-0.14728816314890655,-7.1192545944,17.8739872457,,50.0,0.018167497861828856,11.832770141787071,-0.1917772927874051,0.3590429077430578,0.112874316968,0.738148898503,0.462157848018,,,-0.11150992048834701,-0.45187897193096643,0.26010167914356136,0.4705528282314048,,0.359042907743,-0.191777292787,,17.9228268596,,1.16658857644,,,0.570081885285,0.0171014018812,018,17,17.4912228584
8.0,2.96358433588,47.9339532722,,-2.37192758386,0.281228059918,11.8358796909,234.216709294,0.342767269948,47.8144727885,-0.6145737648625941,-0.5110879083840798,-6.21551187741,1.27797659397,,50.0,-0.4520082940739256,11.835928526318526,-0.3082184227146735,0.357270490294042,0.0283293916005,0.479339532722,0.0503065119933,,,-0.4050621767483589,-0.4947852016463308,0.18656677893165743,0.762332667042401,,0.357270490294,-0.308218422715,,1.5091953598,,1.02232328349,,,0.248745381459,-0.452865232447,018,17,17.4912228584
9.0,-1.2899548428,35.9253191004,833.6,-2.117410616,0.230154707827,11.7320886313,250.542763824,0.206361224016,36.0483187962,-0.46833351103613663,-0.6526638640117497,-7.1212364608,11.4486386109,,50.0,-0.8889845545041039,11.732524150679614,-0.26469317793696107,0.31828923179392654,-0.0133496462385,0.359253191004,0.259688932768,,,-0.5206719748175697,-0.376841395395005,0.1121482174580438,0.838961206611496,,0.318289231794,-0.264693177937,,11.5293189605,,0.986664983665,,,0.209546756104,-0.88999103945,018,17,17.4912228584
