time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,user,path,total_duration
0.0,-5.12116549684,234.337067296,,2.8527121883,0.395686115241,8.96286247724,40.7617760031,0.0699986968062,234.198090702,,,-4.26810720304,2.54118455346,,63.0,,,,,-0.0521589695744,1.0,0.0957269895058,,,,,,,,0.611158680605,-0.0276192845163,,2.48231955909,,0.583860842848,,,0.0690503975911,3.26547473451,009,4,5.91723132133
1.0,-6.28932328803,260.174384816,,2.88415743871,0.424145034388,9.21339145306,202.404991209,-0.0622766499622,259.94168177,,,-8.74926066427,4.02243720715,,63.0,,,,,-0.0617590873477,1.0,0.121645088238,,,,,,,,1.18910270553,-0.0324273568235,,4.39695753084,,0.553819954374,,,0.0239144582448,2.41656430908,009,4,5.91723132133
2.0,-8.93569647875,283.726612023,412.6,2.89337518076,0.438074280562,9.61810901685,441.746946985,-0.015199287052,284.298201041,,,-14.3851807927,-6.94617162739,,63.0,,,,,-0.0872730636406,1.0,-0.242147285062,,,,,,,,1.53964347625,-0.0767262379833,,-6.69711820895,,0.539604782166,,,0.0354807883635,1.12643893452,009,4,5.91723132133
3.0,-7.76789463902,289.909711463,410.428571429,2.88659395194,0.420363676323,10.1031259112,349.438216692,0.0438440713081,289.148736259,,,-12.1596156581,-6.32856738598,,63.0,,,,,-0.077001096453,1.0,-0.179881390244,,,,,,,,1.75225720117,-0.156892227142,,-6.5143282753,,0.557967390856,,,0.0318692992289,-0.32027617666,009,4,5.91723132133
4.0,-6.90150704193,314.636665415,,2.87164964551,0.335230373725,10.6632997373,405.665670385,-0.0447680498982,314.516141327,,,-14.5506612955,0.492415475115,,63.0,,,,,-0.0690898466535,1.0,0.0264104489203,,,,,,,,1.88121394401,-0.132118619358,,0.613332060289,,0.64379582417,,,0.10927099388,-1.78266938947,009,4,5.91723132133
0.0,-4.65354095067,178.694798055,,2.89158179664,0.40583995495,8.98428771984,96.2304350765,-0.0445650419091,178.53306185,,,-4.05944099731,-3.82702943757,,139.0,3.1894143715210315,8.98430173471521,-0.017592574098066596,0.7602703673407238,-0.0386538179549,1.0,-0.129646123326,,,,,-0.017592574098066596,0.7602703673407238,,0.760270367341,-0.0175925740981,,-3.89167428748,,0.57214219244,,,0.0174366478866,3.18948749556,009,5,5.92035627365
1.0,2.80035956284,149.862607292,,2.87817405614,0.409134733946,9.28397674369,105.37654019,0.0730991827606,150.269380761,,,-4.34143365536,-1.17736252948,,139.0,2.2442829946516456,9.28397674368957,-0.0521560889022632,1.2795435152608579,0.0286228344548,1.0,-0.0329425665283,,,,,-0.0521560889022632,1.2795435152608579,,1.27954351526,-0.0521560889023,,-0.993688829248,,0.569254138012,,,0.0353001424518,2.24428299465,009,5,5.92035627365
2.0,-5.23043151592,183.309818599,,2.87046163055,0.468473749373,9.66170915748,44.6152408668,-0.0927503039302,183.383038231,0.2946204465555316,-0.010731201466804192,-3.52547975335,2.54161563487,,139.0,1.34483571837254,9.549575415743222,0.14352704872071656,1.5894025997406152,-0.0527498627516,1.0,0.0845703790548,,,-0.008219355644029808,0.22530397098989396,0.003838586706982299,1.594498600239913,,1.58940259974,0.143527048721,,2.53711137164,,0.510301363201,,,0.0224581321986,0.881004571584,009,5,5.92035627365
3.0,-17.5116199367,201.143965469,,2.84889926024,0.646086664043,9.9629354659,333.306620858,-0.150881302745,201.175300734,0.39991379235869806,-0.01332269602780927,-9.69358247834,-16.6421542726,,139.0,,,0.19746067124200561,1.7751930382905483,-0.174938170702,1.0,-0.423828330725,,,-0.010335477421554837,0.31995049513932833,-0.12248982389732262,1.7855285157121037,,1.77519303829,0.197460671242,,-16.6532832148,,0.333457781781,,,0.177041079767,-0.639614084346,009,5,5.92035627365
4.0,-3.83601924586,189.887824418,418.0,2.7846859224,0.674762469865,10.3979708812,120.139558705,0.0945903409036,190.002159531,0.31041501538622546,-0.031053509064110047,-6.06866758197,10.3565440425,,139.0,-2.7754277813367887,10.65011859095595,0.054624079256275014,1.87848613555876,-0.0377768168261,1.0,0.205221142924,,,-0.025453200899488194,0.2554695814758889,-0.175298544072025,1.901394016368299,,1.87848613556,0.0546240792563,,10.3838271292,,0.304271538337,,,0.138991389099,-2.12187077416,009,5,5.92035627365
