time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,user,path,total_duration
0.0,-5.18578238468,52.5461888693,780.166666667,2.88782457434,0.426007468387,8.9454282222,277.150374125,-0.0252762685962,52.4095238224,,,-7.16053195899,-0.0263001568525,,94.0,3.2399627370084856,8.945903846315552,-0.016200824331652198,0.34647350739038635,-0.0535043576151,0.525461888693,-6.30301318394e-05,,,,,-0.016200824331652198,0.34647350739038635,,0.34647350739,-0.0162008243317,,-0.00189090395518,,0.552221968297,,,0.00810712595175,3.24180707274,008,5,12.0413067341
1.0,-2.01621992199,48.166595997,,2.88477792254,0.42501816251,9.0971281295,289.538930588,0.00702727758,48.190004839,,,-7.29794732596,-2.29830520002,,94.0,2.7711152497527216,9.098105224889215,-0.04635643331265643,0.6325469880525112,-0.0213133576783,0.48166595997,-0.0769023166769,,,,,-0.04635643331265643,0.6325469880525112,,0.632546988053,-0.0463564333127,,-2.30706950031,,0.553323550792,,,0.0137990947693,2.77385798444,008,5,12.0413067341
2.0,-0.18062924076,48.7483525006,,2.89647755109,0.414922293575,9.32733965483,342.050629383,-0.000364293167045,48.5768859032,,,-8.49904779764,-3.72630482205,,94.0,2.101745877088042,9.327339654825385,-0.042635997943989624,0.7966635215382418,-0.00168597077913,0.487219936632,-0.0957362575014,,,,,-0.042635997943989624,0.7966635215382418,,0.796663521538,-0.042635997944,,-3.51550128353,,0.562629609844,,,0.0162685615925,2.10174587709,008,5,12.0413067341
3.0,-2.9499460195,31.0002914593,,2.88964073187,0.416700277174,9.56975215985,405.150952756,0.0160651526677,30.9629126128,0.03689457254001524,0.000853811701055223,-9.74516654109,-4.39842821139,,94.0,1.386692899308362,9.55559493382489,-0.06039552576454957,0.79082165947473,-0.0301578588005,0.310647505754,-0.11018209894,,,0.0005127414519163645,0.02044436125587336,-0.06284884911525436,0.7907601305005,,0.790821659475,-0.0603955257645,,-4.08654177555,,0.561245688945,,,0.0208160318113,1.34289417218,008,5,12.0413067341
4.0,-9.02240242032,28.7347093152,,2.88587428968,0.46061001736,9.76222128842,553.410134373,0.0119343881696,29.0578452605,0.31844382839200713,0.001825421402057475,-12.8238710276,-12.7165771606,,94.0,,,0.14595123732023665,0.7183652105320154,-0.091234474008,0.256084947337,-0.121995449829,,,0.0013562954392434652,0.24939755468085859,-0.10344631736062197,0.7170089150927719,,0.718365210532,0.14595123732,,-12.4958913849,,0.517638598756,,,0.049590312049,0.606633180516,008,5,12.0413067341
5.0,-8.75429869733,56.4756524417,673.285714286,2.77478096224,0.632651235417,9.79673311504,818.392167746,-0.249800097674,54.8411933135,0.3965425371165378,-0.04281847350939132,-21.2894622362,8.7687888884,,94.0,,,0.19137458448369088,0.7522803750562806,-0.0880458970597,0.396939947892,0.054561196806,,,-0.03258705722169388,0.3174202505786321,-0.12604566609494128,0.7848674322779746,,0.752280375056,0.191374584484,,8.29801691886,,0.342566423647,,,0.0926618480143,-0.137226018937,008,5,12.0413067341
6.0,-9.40692192676,23.4601531525,,2.66423122308,0.688259979027,9.92781092289,624.507631334,0.00782365124688,23.9186253425,0.39066260107134076,-0.08653899467702324,-14.1202557613,-16.9876395709,,94.0,,,0.18056272329842116,0.5584025469125009,-0.0922321645952,0.23425636437,-0.290079390323,,,-0.0693910109279439,0.31249283238424025,-0.1319301090858191,0.6277935578404447,,0.558402546913,0.180562723298,,-17.3210349786,,0.278241145784,,,0.0497886328023,-0.81102684036,008,5,12.0413067341
7.0,-15.6504647817,43.3712202481,,2.63895130019,0.728616279806,10.0674074663,569.349715093,0.0820942954467,43.0523216717,0.38826945867520285,-0.09636723378182674,-14.4345092124,2.2607335751,,94.0,,,0.08541005571165196,0.6698769742650574,-0.155831088958,0.434424365573,0.091409297161,,,-0.07730295306056446,0.31057323066451537,-0.22516317495286348,0.747179927325622,,0.669876974265,0.0854100557117,,2.81796724488,,0.233328976289,,,0.0495718793276,-1.39621163196,008,5,12.0413067341
8.0,-19.7257555759,50.2703902697,,2.67406447594,0.714198972375,10.3052100085,670.179937791,0.0428278453535,50.1756939898,0.36773145649036393,-0.0781115436369085,-17.1298682594,2.73433255867,,94.0,,,0.03421946693772797,0.7237131029161021,-0.197243226586,0.502703902697,0.101015153052,,,-0.06302333473665721,0.2967447423814784,-0.26252527544375037,0.7867364376527592,,0.723713102916,0.0342194669377,,2.18988443986,,0.253924691749,,,0.0689473415266,-2.05282976278,008,5,12.0413067341
9.0,-4.31263035874,22.7762133048,,2.73422817992,0.580264014831,10.6795876365,546.225341582,0.0806378944663,22.8906474415,0.10363386982313642,-0.01537419360259428,-15.3145212499,26.0779628098,,94.0,-2.863262855678514,10.768486702200269,-0.14475447260855942,0.7662752202766652,-0.0433789960435,0.228240929675,0.466754396346,,,-0.013899758055239794,0.09235671068048992,-0.18169715688075544,0.7718351234987613,,0.766275220277,-0.144754472609,,25.756322785,,0.395328630478,,,0.0581453537407,-2.72774919568,008,5,12.0413067341
